image,dists_bicubic,dists_otf,dists_otf_hard,dists_otf_soft,dists_paired,dists_paired_hard_12000,dists_paired_hard_20000,dists_paired_soft_2000,dists_paired_soft_20000
PANSHARP_Norte_RGB_8bit__R58__C82,0.1710090637207031,0.1098119020462036,0.1140419244766235,0.1096187829971313,0.0747568607330322,0.0617095232009887,0.0596520900726318,0.0706052780151367,0.0681294798851013
PANSHARP_Norte_RGB_8bit__R58__C83,0.1815714240074157,0.1234306097030639,0.1226049661636352,0.1209718585014343,0.0832353234291076,0.0741057991981506,0.0732885003089904,0.0772274732589721,0.0790162086486816
PANSHARP_Norte_RGB_8bit__R58__C84,0.1915912628173828,0.116367757320404,0.1122493147850036,0.1124235391616821,0.0893008112907409,0.0828922986984252,0.0823848247528076,0.085237979888916,0.0847867131233215
PANSHARP_Norte_RGB_8bit__R58__C85,0.1942284703254699,0.1238314509391784,0.1121385693550109,0.1100214123725891,0.0793638825416565,0.0727992057800293,0.0705751776695251,0.0764495730400085,0.0753570199012756
PANSHARP_Norte_RGB_8bit__R58__C86,0.2085416316986084,0.115979790687561,0.1234519481658935,0.1221175193786621,0.0888354778289794,0.0904473066329956,0.0879105925559997,0.0913699865341186,0.0921487808227539
PANSHARP_Norte_RGB_8bit__R69__C61,0.1699262857437133,0.0999588966369628,0.1010985970497131,0.1014395356178283,0.0661119222640991,0.0629144310951232,0.0601375102996826,0.0644435882568359,0.063563585281372
PANSHARP_Norte_RGB_8bit__R69__C62,0.1797595620155334,0.1265195608139038,0.1256476044654846,0.1266653537750244,0.0863428115844726,0.0797100663185119,0.075724720954895,0.0817883610725402,0.0783939361572265
PANSHARP_Norte_RGB_8bit__R69__C63,0.1799675822257995,0.1235832571983337,0.1192460060119628,0.1202347874641418,0.0825790166854858,0.0743079781532287,0.0761763453483581,0.0776852965354919,0.0737240314483642
PANSHARP_Norte_RGB_8bit__R69__C64,0.200844407081604,0.1281791925430297,0.1144084930419921,0.1179825663566589,0.0882134437561035,0.0729623436927795,0.0748489499092102,0.082838237285614,0.0792736411094665
PANSHARP_Suroeste_RGB_8bit__R10__C43,0.1740526556968689,0.0986806154251098,0.0932707786560058,0.0967332124710083,0.0794807076454162,0.0717691779136657,0.0728113651275634,0.0762801766395568,0.0775209069252014
PANSHARP_Suroeste_RGB_8bit__R10__C45,0.1819086670875549,0.1155105829238891,0.1149442791938781,0.1103278398513794,0.0886945724487304,0.0844402313232421,0.0857449769973754,0.0843824744224548,0.0844653248786926
PANSHARP_Suroeste_RGB_8bit__R12__C25,0.2037680745124817,0.1240294575691223,0.1189448237419128,0.1203697919845581,0.1037169694900512,0.0964927673339843,0.0987499952316284,0.1048102378845214,0.1063597798347473
PANSHARP_Suroeste_RGB_8bit__R28__C45,0.2102044820785522,0.1349655389785766,0.1260376572608947,0.1218528747558593,0.1000628471374511,0.0823441743850708,0.0850036144256591,0.0904357433319091,0.085313081741333
PANSHARP_Suroeste_RGB_8bit__R36__C8,0.2252061367034912,0.1186099052429199,0.1259123086929321,0.1270861029624939,0.0984898209571838,0.0809018611907959,0.0814412832260131,0.0897690057754516,0.0870351195335388
PANSHARP_Suroeste_RGB_8bit__R36__C9,0.2134813070297241,0.1169396042823791,0.1225037574768066,0.1243171691894531,0.094911515712738,0.0803908109664917,0.073209524154663,0.0841684341430664,0.0836517810821533
PANSHARP_Suroeste_RGB_8bit__R41__C40,0.235578179359436,0.1427653431892395,0.1519697308540344,0.1493096947669983,0.1121379137039184,0.0993255972862243,0.1035795211791992,0.1094883680343627,0.1090896129608154
