image,psnr_bicubic,psnr_otf,psnr_otf_hard,psnr_otf_soft,psnr_paired,psnr_paired_hard_12000,psnr_paired_hard_20000,psnr_paired_soft_2000,psnr_paired_soft_20000
PANSHARP_Norte_RGB_8bit__R58__C82,16.561899402641085,16.589179331567628,16.43541174318442,16.642924575466754,19.88574152507766,19.625419392779257,19.984129277620056,19.998291662222965,19.75210990463623
PANSHARP_Norte_RGB_8bit__R58__C83,17.40709985928686,17.864450425752143,17.63550809125357,17.741011099800836,21.15866276053516,20.619590202898127,21.03618154944845,21.115926296755063,20.81754269348513
PANSHARP_Norte_RGB_8bit__R58__C84,21.18212409079153,22.182332027753557,21.94530536083789,22.238018136605945,25.862229811818203,25.584871025874392,25.87369150480693,26.00357240035321,25.94188521216069
PANSHARP_Norte_RGB_8bit__R58__C85,19.663102622909,20.246010901211267,19.97729321572996,20.17835027622247,23.491418039787632,22.65463556182752,23.193270913651556,23.521169282622857,23.443161890979155
PANSHARP_Norte_RGB_8bit__R58__C86,18.950420923310084,19.290685089484526,18.84712256259317,19.20678065881868,22.173176588361912,21.35852363718364,21.773597827561414,22.03174523762491,22.050720833967645
PANSHARP_Norte_RGB_8bit__R69__C61,20.33235783188772,21.336374806781023,21.12314563890644,21.57806346731789,24.511172846586,23.986789148626,24.41608145268008,24.608807325442648,24.689466816409904
PANSHARP_Norte_RGB_8bit__R69__C62,19.041823243194223,19.770556375503084,19.493907427682565,19.83454029058597,22.526666278465605,21.909984520137314,22.404199719690915,22.50772844837274,22.791869786811056
PANSHARP_Norte_RGB_8bit__R69__C63,20.24147694949996,21.290449554246308,21.172197662011413,21.361750467331667,24.75789249713532,24.18671953754528,24.87603775314516,24.664680710743333,25.203483211978067
PANSHARP_Norte_RGB_8bit__R69__C64,21.63706036797848,22.3842955631139,22.251055125879606,22.604168356611165,26.271623482002237,25.91666233962553,26.34594938276009,26.31965680150586,26.531103014563403
PANSHARP_Suroeste_RGB_8bit__R10__C43,16.8624973351747,15.709017450502529,15.418225324657628,15.65992927402274,17.866280863368512,16.847191583917624,16.434880911531117,17.662633067027883,16.789924447472323
PANSHARP_Suroeste_RGB_8bit__R10__C45,14.779120801735138,13.80619417780938,13.587933058939171,13.679171063225988,15.872099886354306,15.77542532996799,14.923629821729136,16.19199259291539,16.422916097623347
PANSHARP_Suroeste_RGB_8bit__R12__C25,18.779068151328588,18.58855025450208,17.94067678607315,18.606998443507223,19.78109869896823,20.18831616063524,19.8483295683994,19.75963745315712,20.086952828926865
PANSHARP_Suroeste_RGB_8bit__R28__C45,18.07551762651891,18.007298417033894,18.07404570393004,18.891394531159484,22.283786940264143,23.478821563812105,23.125547534356144,22.36179917917081,22.716191401824837
PANSHARP_Suroeste_RGB_8bit__R36__C8,21.337232537351035,21.145284558647983,20.897065384897545,21.054454992150458,25.493859903518544,25.7436504188832,24.10512660107106,25.631106034962023,25.154119367460066
PANSHARP_Suroeste_RGB_8bit__R36__C9,22.18941037627109,21.675465944108836,21.36899750383083,21.69959167094348,26.31555181310429,26.34542635449096,25.05240574536733,26.305535102135067,25.826990045692888
PANSHARP_Suroeste_RGB_8bit__R41__C40,13.279466569834817,12.615311147307128,12.459336316486564,12.230166938990592,16.314961004848527,15.439785032272052,14.614522810779212,16.361116443365674,16.177791968950736
PANSHARP_Suroeste_RGB_8bit__R52__C4,15.442090135616269,14.71579246007439,14.329376841449635,14.671004079795582,16.837897616975148,15.77255121416764,16.044699269897585,16.93371300417667,15.833185137051576
PANSHARP_Suroeste_RGB_8bit__R52__C40,14.71558871924242,14.148389186379394,13.935255595473784,13.934918173220623,15.388824922551196,16.254306776335035,15.145899723467377,15.645394866262237,17.272687794479864
PANSHARP_Suroeste_RGB_8bit__R52__C41,17.13383462406541,16.577203354103567,16.33419429358621,16.68422798535425,20.41547236181899,20.05003738650678,19.644587549098134,20.411418485498352,20.51919130183629
PANSHARP_Suroeste_RGB_8bit__R52__C42,19.716656785347844,18.87807405991556,18.60110997269776,18.918452454064965,23.720979492816618,23.46938034029845,23.089334843385416,23.83167969628092,23.753696674791435
PANSHARP_Suroeste_RGB_8bit__R52__C5,15.58452227665809,14.859893734728018,14.407242347736474,14.75220838102243,17.41996027228828,16.659793755785355,16.81856187973724,17.86884215043022,16.503778728968676
PANSHARP_Suroeste_RGB_8bit__R53__C40,14.792484366967058,14.223406531475206,14.102936606983889,13.99610445625491,16.305647514116856,16.519010108620463,15.682806931064174,17.325249904369894,17.280012365359667
PANSHARP_Suroeste_RGB_8bit__R55__C38,18.488186386481846,17.561886590166555,17.28509715612599,17.467512664970577,21.042234551395183,19.257239749898904,19.111406864445136,20.35895673013811,19.89922333328837
PANSHARP_Suroeste_RGB_8bit__R55__C39,16.715544727127703,15.962165966927182,15.656436537599395,15.923327237994172,19.63863686894569,18.286821651980112,18.195590591787788,19.0744797394882,18.46766518203262
PANSHARP_Suroeste_RGB_8bit__R55__C40,15.280798805197742,15.014765591759634,14.803730849600562,14.834826928414564,17.47455715011767,18.616059637543668,17.306678580777927,18.78394346823337,19.742438963013264
AVERAGE,17.927575420656705,17.777721340034187,17.523304284325906,17.775595864154138,20.91241734764888,20.581880497264507,20.361885944330357,21.01116304333022,20.946724360150565
