image,ssim_bicubic,ssim_otf,ssim_otf_hard,ssim_otf_soft,ssim_paired,ssim_paired_hard_12000,ssim_paired_hard_20000,ssim_paired_soft_2000,ssim_paired_soft_20000
PANSHARP_Norte_RGB_8bit__R58__C82,0.6458783745765686,0.7412219047546387,0.7324414253234863,0.7491650581359863,0.8428165316581726,0.8413973450660706,0.8466655611991882,0.8471624255180359,0.8433071970939636
PANSHARP_Norte_RGB_8bit__R58__C83,0.6651425957679749,0.7711372375488281,0.7516257762908936,0.7710806727409363,0.8574459552764893,0.852040708065033,0.8561863303184509,0.8609231114387512,0.856593906879425
PANSHARP_Norte_RGB_8bit__R58__C84,0.7386844754219055,0.8150947690010071,0.7977674007415771,0.81971675157547,0.8824108242988586,0.8792961239814758,0.8811833262443542,0.8864325881004333,0.8858518004417419
PANSHARP_Norte_RGB_8bit__R58__C85,0.6806756854057312,0.7929627895355225,0.7693910598754883,0.7935121059417725,0.8643226623535156,0.8553282618522644,0.8614180684089661,0.8672245144844055,0.866716206073761
PANSHARP_Norte_RGB_8bit__R58__C86,0.7041583061218262,0.7997080683708191,0.7697693705558777,0.8007801175117493,0.8654343485832214,0.8578636050224304,0.8612232804298401,0.866364061832428,0.867994487285614
PANSHARP_Norte_RGB_8bit__R69__C61,0.7148080468177795,0.808373749256134,0.791165828704834,0.8137223124504089,0.8749305605888367,0.8678110241889954,0.8715944290161133,0.878237783908844,0.8786395192146301
PANSHARP_Norte_RGB_8bit__R69__C62,0.6847580075263977,0.7825447916984558,0.7652320861816406,0.7854655385017395,0.8603105545043945,0.8518580794334412,0.8584181666374207,0.8631997108459473,0.8661697506904602
PANSHARP_Norte_RGB_8bit__R69__C63,0.6932079195976257,0.7947857975959778,0.7807238698005676,0.7976958155632019,0.8762636184692383,0.8702369332313538,0.8754935264587402,0.8785273432731628,0.8821010589599609
PANSHARP_Norte_RGB_8bit__R69__C64,0.7024134993553162,0.7743251919746399,0.7655922770500183,0.7836074829101562,0.873646080493927,0.8693437576293945,0.8722328543663025,0.8771443963050842,0.87860107421875
PANSHARP_Suroeste_RGB_8bit__R10__C43,0.484115719795227,0.4601454734802246,0.4401261806488037,0.4672706127166748,0.7144330143928528,0.6931549906730652,0.6745548844337463,0.7144590020179749,0.6874620318412781
PANSHARP_Suroeste_RGB_8bit__R10__C45,0.4211458265781402,0.4208152592182159,0.406607836484909,0.4201161861419678,0.6781813502311707,0.6844543814659119,0.6448838114738464,0.6978445053100586,0.7192786335945129
PANSHARP_Suroeste_RGB_8bit__R12__C25,0.5781990885734558,0.5984532833099365,0.5669879913330078,0.60493403673172,0.7035350799560547,0.7423346638679504,0.7193146347999573,0.6853485703468323,0.7213094830513
PANSHARP_Suroeste_RGB_8bit__R28__C45,0.5217103958129883,0.5715899467468262,0.5704126358032227,0.6052781939506531,0.8227646946907043,0.8401274085044861,0.8355143666267395,0.8276216387748718,0.8378939628601074
PANSHARP_Suroeste_RGB_8bit__R36__C8,0.5881710052490234,0.6065731048583984,0.5892316699028015,0.610413134098053,0.8608890175819397,0.8629125952720642,0.8491961359977722,0.8674448132514954,0.8633167147636414
PANSHARP_Suroeste_RGB_8bit__R36__C9,0.568676769733429,0.568163275718689,0.5477809906005859,0.5743744969367981,0.8532107472419739,0.8518771529197693,0.8431363701820374,0.8579809665679932,0.8552448749542236
PANSHARP_Suroeste_RGB_8bit__R41__C40,0.4464430809020996,0.4263660013675689,0.4172169268131256,0.4027164876461029,0.7202059626579285,0.6983721852302551,0.6520309448242188,0.7263023257255554,0.7187861800193787
PANSHARP_Suroeste_RGB_8bit__R52__C4,0.4989117681980133,0.4863193929195404,0.4634713232517242,0.4886655509471893,0.6781813502311707,0.6384909749031067,0.6590368747711182,0.684886634349823,0.6383203864097595
PANSHARP_Suroeste_RGB_8bit__R52__C40,0.4672877788543701,0.495710015296936,0.4861859977245331,0.4906680285930633,0.6643081307411194,0.7055200934410095,0.6548160314559937,0.6776411533355713,0.7372592091560364
PANSHARP_Suroeste_RGB_8bit__R52__C41,0.426327109336853,0.4263181388378143,0.4098928272724151,0.4396464824676513,0.7795031666755676,0.7775617241859436,0.7682374119758606,0.7828872799873352,0.7884572148323059
PANSHARP_Suroeste_RGB_8bit__R52__C42,0.5733869671821594,0.5729129910469055,0.5579602122306824,0.5818158984184265,0.8321438431739807,0.828231155872345,0.8250484466552734,0.8362336158752441,0.8374597430229187
PANSHARP_Suroeste_RGB_8bit__R52__C5,0.5435187816619873,0.5314520001411438,0.51096111536026,0.5306012034416199,0.7119054198265076,0.6935627460479736,0.6944572329521179,0.7352251410484314,0.6661683917045593
PANSHARP_Suroeste_RGB_8bit__R53__C40,0.4592418670654297,0.4715467393398285,0.4660492837429046,0.4678382575511932,0.704359233379364,0.7258308529853821,0.6920199990272522,0.7481653690338135,0.741097629070282
PANSHARP_Suroeste_RGB_8bit__R55__C38,0.5277571678161621,0.51226407289505,0.4932800233364105,0.51922208070755,0.7965393662452698,0.7688183784484863,0.7621797919273376,0.7900614738464355,0.7772667407989502
PANSHARP_Suroeste_RGB_8bit__R55__C39,0.487535685300827,0.4739532768726349,0.452680230140686,0.479160875082016,0.7827208638191223,0.7511733174324036,0.7454721331596375,0.7721346020698547,0.7554582953453064
PANSHARP_Suroeste_RGB_8bit__R55__C40,0.4667695462703705,0.4981091916561126,0.4902564585208893,0.4977379739284515,0.7314621806144714,0.7691794037818909,0.7325231432914734,0.7737152576446533,0.7951507568359375
AVERAGE,0.5715570187568665,0.608033858537674,0.5917124319076538,0.6118082141876221,0.793276982307434,0.7910711145401002,0.7814735102653504,0.8001267313957214,0.7986362099647522
