image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,16.561899402641085,0.6458783745765686,0.17100906372070312,6.82563079292926
PANSHARP_Norte_RGB_8bit__R58__C83,17.40709985928686,0.6651425957679749,0.18157142400741577,6.34157070310718
PANSHARP_Norte_RGB_8bit__R58__C84,21.182124090791532,0.7386844754219055,0.1915912628173828,5.80267149095381
PANSHARP_Norte_RGB_8bit__R58__C85,19.663102622908998,0.6806756854057312,0.19422847032546997,6.47842061870636
PANSHARP_Norte_RGB_8bit__R58__C86,18.950420923310084,0.7041583061218262,0.2085416316986084,6.14129265211543
PANSHARP_Norte_RGB_8bit__R69__C61,20.332357831887716,0.7148080468177795,0.16992628574371338,6.24344129919671
PANSHARP_Norte_RGB_8bit__R69__C62,19.041823243194223,0.6847580075263977,0.17975956201553345,6.9314111525981
PANSHARP_Norte_RGB_8bit__R69__C63,20.241476949499962,0.6932079195976257,0.17996758222579956,6.75707825342544
PANSHARP_Norte_RGB_8bit__R69__C64,21.637060367978478,0.7024134993553162,0.200844407081604,6.16655274604987
PANSHARP_Suroeste_RGB_8bit__R10__C43,16.8624973351747,0.48411571979522705,0.1740526556968689,5.60985251036861
PANSHARP_Suroeste_RGB_8bit__R10__C45,14.779120801735138,0.42114582657814026,0.18190866708755493,6.87466996700161
PANSHARP_Suroeste_RGB_8bit__R12__C25,18.779068151328588,0.5781990885734558,0.2037680745124817,5.39104705173271
PANSHARP_Suroeste_RGB_8bit__R28__C45,18.07551762651891,0.5217103958129883,0.21020448207855225,6.71699836752641
PANSHARP_Suroeste_RGB_8bit__R36__C8,21.337232537351035,0.5881710052490234,0.2252061367034912,6.03873336528054
PANSHARP_Suroeste_RGB_8bit__R36__C9,22.18941037627109,0.568676769733429,0.21348130702972412,6.10551009611467
PANSHARP_Suroeste_RGB_8bit__R41__C40,13.279466569834815,0.4464430809020996,0.23557817935943604,8.1037058839966
PANSHARP_Suroeste_RGB_8bit__R52__C4,15.442090135616267,0.4989117681980133,0.15658187866210938,4.65357559263701
PANSHARP_Suroeste_RGB_8bit__R52__C40,14.71558871924242,0.4672877788543701,0.19228601455688477,6.53096443899322
PANSHARP_Suroeste_RGB_8bit__R52__C41,17.13383462406541,0.426327109336853,0.1777094602584839,6.82266476362298
PANSHARP_Suroeste_RGB_8bit__R52__C42,19.716656785347844,0.5733869671821594,0.18121707439422607,5.44016693006583
PANSHARP_Suroeste_RGB_8bit__R52__C5,15.58452227665809,0.5435187816619873,0.1644778847694397,5.07130389153522
PANSHARP_Suroeste_RGB_8bit__R53__C40,14.792484366967058,0.4592418670654297,0.19886350631713867,7.21076806504958
PANSHARP_Suroeste_RGB_8bit__R55__C38,18.488186386481846,0.5277571678161621,0.1896328330039978,6.73739947090707
PANSHARP_Suroeste_RGB_8bit__R55__C39,16.715544727127703,0.487535685300827,0.19438475370407104,6.1835304986067
PANSHARP_Suroeste_RGB_8bit__R55__C40,15.280798805197742,0.4667695462703705,0.1974983811378479,6.22728949610179
AVERAGE,17.927575420656705,0.5715570187568665,0.19097163915634155,6.296250003944908
