image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,16.589179331567628,0.7412219047546387,0.10981190204620361,4.54322358689039
PANSHARP_Norte_RGB_8bit__R58__C83,17.864450425752143,0.7711372375488281,0.12343060970306396,5.63463416755493
PANSHARP_Norte_RGB_8bit__R58__C84,22.182332027753553,0.8150947690010071,0.11636775732040405,4.17111823803821
PANSHARP_Norte_RGB_8bit__R58__C85,20.246010901211267,0.7929627895355225,0.12383145093917847,4.35660284653958
PANSHARP_Norte_RGB_8bit__R58__C86,19.290685089484526,0.7997080683708191,0.11597979068756104,4.20572211391723
PANSHARP_Norte_RGB_8bit__R69__C61,21.336374806781023,0.808373749256134,0.09995889663696289,5.41886777022105
PANSHARP_Norte_RGB_8bit__R69__C62,19.770556375503084,0.7825447916984558,0.1265195608139038,5.08587180054322
PANSHARP_Norte_RGB_8bit__R69__C63,21.290449554246308,0.7947857975959778,0.12358325719833374,5.33760895076333
PANSHARP_Norte_RGB_8bit__R69__C64,22.3842955631139,0.7743251919746399,0.12817919254302979,4.66015535004594
PANSHARP_Suroeste_RGB_8bit__R10__C43,15.709017450502527,0.4601454734802246,0.09868061542510986,4.911695925022
PANSHARP_Suroeste_RGB_8bit__R10__C45,13.806194177809381,0.42081525921821594,0.11551058292388916,5.30742237377618
PANSHARP_Suroeste_RGB_8bit__R12__C25,18.58855025450208,0.5984532833099365,0.12402945756912231,4.14393264466907
PANSHARP_Suroeste_RGB_8bit__R28__C45,18.007298417033894,0.5715899467468262,0.13496553897857666,5.60046504688681
PANSHARP_Suroeste_RGB_8bit__R36__C8,21.145284558647983,0.6065731048583984,0.11860990524291992,5.25222249895348
PANSHARP_Suroeste_RGB_8bit__R36__C9,21.675465944108833,0.568163275718689,0.11693960428237915,5.59225797887641
PANSHARP_Suroeste_RGB_8bit__R41__C40,12.615311147307127,0.42636600136756897,0.1427653431892395,7.98896298716717
PANSHARP_Suroeste_RGB_8bit__R52__C4,14.71579246007439,0.4863193929195404,0.0954180359840393,3.99796589180886
PANSHARP_Suroeste_RGB_8bit__R52__C40,14.148389186379394,0.49571001529693604,0.13089746236801147,6.24503863193606
PANSHARP_Suroeste_RGB_8bit__R52__C41,16.577203354103567,0.42631813883781433,0.11922508478164673,5.2241179624161
PANSHARP_Suroeste_RGB_8bit__R52__C42,18.87807405991556,0.5729129910469055,0.11287087202072144,4.54057060953618
PANSHARP_Suroeste_RGB_8bit__R52__C5,14.859893734728018,0.5314520001411438,0.09849876165390015,3.74539604222836
PANSHARP_Suroeste_RGB_8bit__R53__C40,14.223406531475206,0.4715467393398285,0.1293429136276245,5.96275489137936
PANSHARP_Suroeste_RGB_8bit__R55__C38,17.561886590166555,0.51226407289505,0.10854244232177734,6.07778443373922
PANSHARP_Suroeste_RGB_8bit__R55__C39,15.962165966927182,0.4739532768726349,0.12083345651626587,6.09187308992376
PANSHARP_Suroeste_RGB_8bit__R55__C40,15.014765591759634,0.49810919165611267,0.14744967222213745,6.8986546629896
AVERAGE,17.777721340034187,0.608033858537674,0.11928968667984009,5.2397968198329
