image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,16.43541174318442,0.7324414253234863,0.11404192447662354,3.81829397859792
PANSHARP_Norte_RGB_8bit__R58__C83,17.63550809125357,0.7516257762908936,0.12260496616363525,4.1515709221636
PANSHARP_Norte_RGB_8bit__R58__C84,21.945305360837892,0.7977674007415771,0.11224931478500366,3.80712686404072
PANSHARP_Norte_RGB_8bit__R58__C85,19.977293215729958,0.7693910598754883,0.11213856935501099,3.90690025828624
PANSHARP_Norte_RGB_8bit__R58__C86,18.847122562593174,0.7697693705558777,0.12345194816589355,3.51174030678396
PANSHARP_Norte_RGB_8bit__R69__C61,21.12314563890644,0.791165828704834,0.10109859704971313,4.6999513171509
PANSHARP_Norte_RGB_8bit__R69__C62,19.493907427682565,0.7652320861816406,0.12564760446548462,4.93574801025563
PANSHARP_Norte_RGB_8bit__R69__C63,21.172197662011413,0.7807238698005676,0.11924600601196289,5.06264036446017
PANSHARP_Norte_RGB_8bit__R69__C64,22.251055125879606,0.7655922770500183,0.11440849304199219,4.31928120655354
PANSHARP_Suroeste_RGB_8bit__R10__C43,15.418225324657628,0.4401261806488037,0.09327077865600586,4.28476345785219
PANSHARP_Suroeste_RGB_8bit__R10__C45,13.587933058939171,0.40660783648490906,0.11494427919387817,5.22960180758561
PANSHARP_Suroeste_RGB_8bit__R12__C25,17.94067678607315,0.5669879913330078,0.11894482374191284,4.16528897504657
PANSHARP_Suroeste_RGB_8bit__R28__C45,18.074045703930036,0.5704126358032227,0.12603765726089478,5.17256681812526
PANSHARP_Suroeste_RGB_8bit__R36__C8,20.897065384897545,0.5892316699028015,0.12591230869293213,4.33227562571627
PANSHARP_Suroeste_RGB_8bit__R36__C9,21.36899750383083,0.5477809906005859,0.12250375747680664,4.37405158656442
PANSHARP_Suroeste_RGB_8bit__R41__C40,12.459336316486564,0.4172169268131256,0.15196973085403442,7.12494438794793
PANSHARP_Suroeste_RGB_8bit__R52__C4,14.329376841449635,0.46347132325172424,0.09533560276031494,3.22762309752023
PANSHARP_Suroeste_RGB_8bit__R52__C40,13.935255595473784,0.4861859977245331,0.13378125429153442,5.50774256724517
PANSHARP_Suroeste_RGB_8bit__R52__C41,16.33419429358621,0.40989282727241516,0.12161809206008911,4.7011407792494
PANSHARP_Suroeste_RGB_8bit__R52__C42,18.601109972697756,0.5579602122306824,0.12053853273391724,3.53853874008419
PANSHARP_Suroeste_RGB_8bit__R52__C5,14.407242347736474,0.51096111536026,0.09715080261230469,3.40937362415292
PANSHARP_Suroeste_RGB_8bit__R53__C40,14.102936606983887,0.46604928374290466,0.13119232654571533,5.69749164112249
PANSHARP_Suroeste_RGB_8bit__R55__C38,17.28509715612599,0.4932800233364105,0.11358249187469482,5.35107033115961
PANSHARP_Suroeste_RGB_8bit__R55__C39,15.656436537599397,0.45268023014068604,0.12043148279190063,5.00761788720257
PANSHARP_Suroeste_RGB_8bit__R55__C40,14.803730849600562,0.4902564585208893,0.13769280910491943,6.09518016587948
AVERAGE,17.523304284325906,0.5917124319076538,0.11879176616668702,4.6173009888298795
