image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,16.642924575466754,0.7491650581359863,0.10961878299713135,5.01884590797463
PANSHARP_Norte_RGB_8bit__R58__C83,17.741011099800836,0.7710806727409363,0.12097185850143433,6.10454334762876
PANSHARP_Norte_RGB_8bit__R58__C84,22.238018136605945,0.81971675157547,0.11242353916168213,5.53119643065698
PANSHARP_Norte_RGB_8bit__R58__C85,20.17835027622247,0.7935121059417725,0.11002141237258911,5.34752146911145
PANSHARP_Norte_RGB_8bit__R58__C86,19.20678065881868,0.8007801175117493,0.12211751937866211,5.28022373066296
PANSHARP_Norte_RGB_8bit__R69__C61,21.578063467317886,0.8137223124504089,0.10143953561782837,6.03896908795961
PANSHARP_Norte_RGB_8bit__R69__C62,19.83454029058597,0.7854655385017395,0.12666535377502441,5.74962906858105
PANSHARP_Norte_RGB_8bit__R69__C63,21.361750467331667,0.7976958155632019,0.12023478746414185,6.68063834082909
PANSHARP_Norte_RGB_8bit__R69__C64,22.604168356611165,0.7836074829101562,0.11798256635665894,5.93265013809385
PANSHARP_Suroeste_RGB_8bit__R10__C43,15.65992927402274,0.4672706127166748,0.0967332124710083,5.19470933090195
PANSHARP_Suroeste_RGB_8bit__R10__C45,13.679171063225988,0.4201161861419678,0.1103278398513794,6.02402865246093
PANSHARP_Suroeste_RGB_8bit__R12__C25,18.606998443507226,0.60493403673172,0.1203697919845581,4.84629166655908
PANSHARP_Suroeste_RGB_8bit__R28__C45,18.891394531159484,0.6052781939506531,0.12185287475585938,5.96653404602478
PANSHARP_Suroeste_RGB_8bit__R36__C8,21.054454992150458,0.610413134098053,0.1270861029624939,5.50644836260793
PANSHARP_Suroeste_RGB_8bit__R36__C9,21.699591670943477,0.5743744969367981,0.12431716918945312,6.03155987524277
PANSHARP_Suroeste_RGB_8bit__R41__C40,12.230166938990592,0.4027164876461029,0.1493096947669983,7.75627392153271
PANSHARP_Suroeste_RGB_8bit__R52__C4,14.671004079795582,0.48866555094718933,0.09423094987869263,3.91407452306209
PANSHARP_Suroeste_RGB_8bit__R52__C40,13.934918173220623,0.49066802859306335,0.13114136457443237,6.67278100412162
PANSHARP_Suroeste_RGB_8bit__R52__C41,16.68422798535425,0.43964648246765137,0.11891072988510132,5.8610097412107
PANSHARP_Suroeste_RGB_8bit__R52__C42,18.918452454064965,0.5818158984184265,0.1199386715888977,5.21334536359224
PANSHARP_Suroeste_RGB_8bit__R52__C5,14.75220838102243,0.5306012034416199,0.09951472282409668,4.23420148544874
PANSHARP_Suroeste_RGB_8bit__R53__C40,13.99610445625491,0.46783825755119324,0.1286909580230713,6.40553293270693
PANSHARP_Suroeste_RGB_8bit__R55__C38,17.467512664970577,0.51922208070755,0.11207997798919678,6.31534558159208
PANSHARP_Suroeste_RGB_8bit__R55__C39,15.923327237994172,0.479160875082016,0.12060695886611938,6.88503605295886
PANSHARP_Suroeste_RGB_8bit__R55__C40,14.834826928414564,0.49773797392845154,0.12956702709197998,8.07106727118655
AVERAGE,17.775595864154138,0.6118082141876221,0.11784613609313965,5.863298293308335
