image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,19.88574152507766,0.8428165316581726,0.07475686073303223,5.05762843752295
PANSHARP_Norte_RGB_8bit__R58__C83,21.158662760535158,0.8574459552764893,0.08323532342910767,5.01414020990774
PANSHARP_Norte_RGB_8bit__R58__C84,25.862229811818203,0.8824108242988586,0.08930081129074097,4.79955830652882
PANSHARP_Norte_RGB_8bit__R58__C85,23.491418039787632,0.8643226623535156,0.0793638825416565,5.15503571494326
PANSHARP_Norte_RGB_8bit__R58__C86,22.173176588361912,0.8654343485832214,0.08883547782897949,4.4600754528225
PANSHARP_Norte_RGB_8bit__R69__C61,24.511172846586,0.8749305605888367,0.06611192226409912,5.29600540601451
PANSHARP_Norte_RGB_8bit__R69__C62,22.526666278465605,0.8603105545043945,0.08634281158447266,5.03387852178094
PANSHARP_Norte_RGB_8bit__R69__C63,24.757892497135316,0.8762636184692383,0.08257901668548584,5.3699816640962
PANSHARP_Norte_RGB_8bit__R69__C64,26.271623482002234,0.873646080493927,0.08821344375610352,4.83403214738985
PANSHARP_Suroeste_RGB_8bit__R10__C43,17.866280863368512,0.7144330143928528,0.07948070764541626,5.48342368521267
PANSHARP_Suroeste_RGB_8bit__R10__C45,15.872099886354306,0.6781813502311707,0.08869457244873047,5.40948084652482
PANSHARP_Suroeste_RGB_8bit__R12__C25,19.78109869896823,0.7035350799560547,0.10371696949005127,4.98057420443307
PANSHARP_Suroeste_RGB_8bit__R28__C45,22.283786940264143,0.8227646946907043,0.10006284713745117,5.94824461113228
PANSHARP_Suroeste_RGB_8bit__R36__C8,25.493859903518544,0.8608890175819397,0.09848982095718384,5.60157313751846
PANSHARP_Suroeste_RGB_8bit__R36__C9,26.31555181310429,0.8532107472419739,0.09491151571273804,5.45986594011679
PANSHARP_Suroeste_RGB_8bit__R41__C40,16.314961004848527,0.7202059626579285,0.11213791370391846,7.59774120704588
PANSHARP_Suroeste_RGB_8bit__R52__C4,16.837897616975148,0.6781813502311707,0.08122491836547852,4.60047089842514
PANSHARP_Suroeste_RGB_8bit__R52__C40,15.388824922551196,0.6643081307411194,0.10453182458877563,6.20865787323993
PANSHARP_Suroeste_RGB_8bit__R52__C41,20.41547236181899,0.7795031666755676,0.08774304389953613,5.78368726738376
PANSHARP_Suroeste_RGB_8bit__R52__C42,23.720979492816618,0.8321438431739807,0.07213890552520752,4.1718651055206
PANSHARP_Suroeste_RGB_8bit__R52__C5,17.41996027228828,0.7119054198265076,0.08010214567184448,3.87266265594166
PANSHARP_Suroeste_RGB_8bit__R53__C40,16.305647514116856,0.704359233379364,0.0962839126586914,6.50122861136478
PANSHARP_Suroeste_RGB_8bit__R55__C38,21.042234551395183,0.7965393662452698,0.07485049962997437,6.35308831156
PANSHARP_Suroeste_RGB_8bit__R55__C39,19.63863686894569,0.7827208638191223,0.08324146270751953,6.85250864511928
PANSHARP_Suroeste_RGB_8bit__R55__C40,17.47455715011767,0.7314621806144714,0.10871899127960205,5.6938815359447
AVERAGE,20.912417347648876,0.793276982307434,0.08820278406143188,5.421571615899624
