image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,19.625419392779257,0.8413973450660706,0.06170952320098877,4.82735372517798
PANSHARP_Norte_RGB_8bit__R58__C83,20.619590202898127,0.852040708065033,0.07410579919815063,4.62477263699251
PANSHARP_Norte_RGB_8bit__R58__C84,25.584871025874392,0.8792961239814758,0.08289229869842529,4.26324065013918
PANSHARP_Norte_RGB_8bit__R58__C85,22.65463556182752,0.8553282618522644,0.0727992057800293,4.91816492502912
PANSHARP_Norte_RGB_8bit__R58__C86,21.35852363718364,0.8578636050224304,0.0904473066329956,3.92147939924652
PANSHARP_Norte_RGB_8bit__R69__C61,23.986789148626002,0.8678110241889954,0.06291443109512329,5.06237460115306
PANSHARP_Norte_RGB_8bit__R69__C62,21.909984520137314,0.8518580794334412,0.07971006631851196,5.06187485081242
PANSHARP_Norte_RGB_8bit__R69__C63,24.186719537545276,0.8702369332313538,0.07430797815322876,5.29195858215338
PANSHARP_Norte_RGB_8bit__R69__C64,25.91666233962553,0.8693437576293945,0.07296234369277954,4.48639798253961
PANSHARP_Suroeste_RGB_8bit__R10__C43,16.847191583917624,0.6931549906730652,0.07176917791366577,5.21492310492731
PANSHARP_Suroeste_RGB_8bit__R10__C45,15.77542532996799,0.6844543814659119,0.08444023132324219,5.26889500964093
PANSHARP_Suroeste_RGB_8bit__R12__C25,20.18831616063524,0.7423346638679504,0.09649276733398438,5.51001360003808
PANSHARP_Suroeste_RGB_8bit__R28__C45,23.478821563812105,0.8401274085044861,0.0823441743850708,5.71402853467653
PANSHARP_Suroeste_RGB_8bit__R36__C8,25.743650418883202,0.8629125952720642,0.0809018611907959,5.11173361765619
PANSHARP_Suroeste_RGB_8bit__R36__C9,26.345426354490957,0.8518771529197693,0.0803908109664917,4.92717990500136
PANSHARP_Suroeste_RGB_8bit__R41__C40,15.439785032272052,0.6983721852302551,0.09932559728622437,7.52910003171111
PANSHARP_Suroeste_RGB_8bit__R52__C4,15.77255121416764,0.6384909749031067,0.07351535558700562,4.54786348054513
PANSHARP_Suroeste_RGB_8bit__R52__C40,16.254306776335035,0.7055200934410095,0.0881909728050232,6.6146586989829
PANSHARP_Suroeste_RGB_8bit__R52__C41,20.05003738650678,0.7775617241859436,0.07858496904373169,5.38412128894162
PANSHARP_Suroeste_RGB_8bit__R52__C42,23.46938034029845,0.828231155872345,0.07273250818252563,4.28391199024213
PANSHARP_Suroeste_RGB_8bit__R52__C5,16.659793755785355,0.6935627460479736,0.06758648157119751,4.11258599222321
PANSHARP_Suroeste_RGB_8bit__R53__C40,16.519010108620463,0.7258308529853821,0.08706742525100708,6.62061654360451
PANSHARP_Suroeste_RGB_8bit__R55__C38,19.257239749898904,0.7688183784484863,0.0704491138458252,6.17095721711637
PANSHARP_Suroeste_RGB_8bit__R55__C39,18.286821651980112,0.7511733174324036,0.08040738105773926,5.88063371125594
PANSHARP_Suroeste_RGB_8bit__R55__C40,18.616059637543668,0.7691794037818909,0.09272134304046631,6.10431760615192
AVERAGE,20.581880497264507,0.7910711145401002,0.07915076494216919,5.258126307438361
