image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,19.998291662222965,0.8471624255180359,0.07060527801513672,4.84919868735044
PANSHARP_Norte_RGB_8bit__R58__C83,21.115926296755063,0.8609231114387512,0.07722747325897217,5.00917407891925
PANSHARP_Norte_RGB_8bit__R58__C84,26.003572400353214,0.8864325881004333,0.08523797988891602,4.64326582298449
PANSHARP_Norte_RGB_8bit__R58__C85,23.521169282622857,0.8672245144844055,0.07644957304000854,4.91664222270412
PANSHARP_Norte_RGB_8bit__R58__C86,22.03174523762491,0.866364061832428,0.09136998653411865,4.27744670971312
PANSHARP_Norte_RGB_8bit__R69__C61,24.608807325442648,0.878237783908844,0.06444358825683594,5.49628275678187
PANSHARP_Norte_RGB_8bit__R69__C62,22.50772844837274,0.8631997108459473,0.08178836107254028,5.22103350755875
PANSHARP_Norte_RGB_8bit__R69__C63,24.664680710743333,0.8785273432731628,0.07768529653549194,5.38839767843247
PANSHARP_Norte_RGB_8bit__R69__C64,26.31965680150586,0.8771443963050842,0.08283823728561401,4.86035325495901
PANSHARP_Suroeste_RGB_8bit__R10__C43,17.662633067027883,0.7144590020179749,0.07628017663955688,5.43769521768845
PANSHARP_Suroeste_RGB_8bit__R10__C45,16.19199259291539,0.6978445053100586,0.08438247442245483,5.54046813085093
PANSHARP_Suroeste_RGB_8bit__R12__C25,19.75963745315712,0.6853485703468323,0.10481023788452148,5.28202212470618
PANSHARP_Suroeste_RGB_8bit__R28__C45,22.361799179170806,0.8276216387748718,0.09043574333190918,5.95556581833075
PANSHARP_Suroeste_RGB_8bit__R36__C8,25.631106034962023,0.8674448132514954,0.08976900577545166,5.26500439930856
PANSHARP_Suroeste_RGB_8bit__R36__C9,26.305535102135067,0.8579809665679932,0.0841684341430664,5.01240980550638
PANSHARP_Suroeste_RGB_8bit__R41__C40,16.361116443365674,0.7263023257255554,0.10948836803436279,7.39468476661421
PANSHARP_Suroeste_RGB_8bit__R52__C4,16.93371300417667,0.684886634349823,0.07994449138641357,4.89403409181528
PANSHARP_Suroeste_RGB_8bit__R52__C40,15.645394866262237,0.6776411533355713,0.09964603185653687,6.41789336870892
PANSHARP_Suroeste_RGB_8bit__R52__C41,20.411418485498352,0.7828872799873352,0.08779609203338623,5.95668911229537
PANSHARP_Suroeste_RGB_8bit__R52__C42,23.83167969628092,0.8362336158752441,0.0723918080329895,4.35129347018038
PANSHARP_Suroeste_RGB_8bit__R52__C5,17.86884215043022,0.7352251410484314,0.07491695880889893,4.31286398097108
PANSHARP_Suroeste_RGB_8bit__R53__C40,17.325249904369894,0.7481653690338135,0.09215724468231201,6.69569758058376
PANSHARP_Suroeste_RGB_8bit__R55__C38,20.35895673013811,0.7900614738464355,0.07154291868209839,6.17894535055653
PANSHARP_Suroeste_RGB_8bit__R55__C39,19.074479739488197,0.7721346020698547,0.08088463544845581,6.55436873825221
PANSHARP_Suroeste_RGB_8bit__R55__C40,18.78394346823337,0.7737152576446533,0.0993461012840271,5.96106374752127
AVERAGE,21.01116304333022,0.8001267313957214,0.08422425985336304,5.434899776931752
